Title,Content
Looking Forward to Summer,Just a few more weeks until summer vacation! I can't wait to enjoy my time off from school.
Physical Bullying in Gym Class,Someone threw a basketball at me during gym. I feel like they are bullying me on purpose.
Happy I Passed,I finally passed my math class after struggling all year! I’m so relieved and proud of my effort.
Humiliation in Front of Class,I was asked to read out loud and my classmates laughed at me. I felt humiliated and embarrassed.
Racial Slurs in School Hallway,Someone yelled racial slurs at me and I don’t know how to respond. I’m scared to tell anyone about it.
Got an A on My Paper,I got an A on my English paper! My teacher said it was well-written and well-researched.
Cyberbullying in Group Project,I'm in a group project and one person keeps posting rude things about me online. It's making it so difficult to collaborate.
Feeling Stressed About Grades,I'm so stressed about my grades this semester. I wonder what my best option is to improve them.
Feeling Left Out at School,It feels like everyone has their own group of friends and I'm just by myself. I'm really curious about how to find my place here.
Bullying Incident During Lunch,Someone started throwing food at me in the cafeteria today. It was humiliating, and I didn't know how to react.
Teacher Encouraged Me,My teacher encouraged me to apply for the advanced math class! I'm excited but also a bit nervous.
Religious Bullying in Cafeteria,Someone made fun of my prayer before eating lunch. I feel disrespected and wish people would be more understanding.
Worried About College Apps,Everyone is talking about college applications and it's stressing me out. I don't know how to even start.
Cyberbullying Texts,I keep receiving mean texts from someone at school. It's really affecting my mental health and I don’t know who to tell.
Excited for Yearbook Photos,Yearbook photos are coming up! I'm so curious to see how mine will turn out.
Got in Trouble for Something I Didn't Do,The teacher blamed me for something I didn't even do today. I feel like I'm always getting in trouble for no reason.
Physical Assault During Recess,Someone shoved me really hard during recess and now I’m scared to go outside. It’s really affecting my well-being.
Happy with My Report Card,My report card came in today and I got all A's! I can't believe how much I've learned this year.
Cyberbullying Through DMs,Someone is sending me hurtful messages through DMs. I’m really upset and don’t know how to stop it.
Excited for Senior Year,Senior year is just around the corner! I’m so curious about what the future holds and all the opportunities ahead.
Verbal Insults During PE,Some students were making mean remarks during PE. I wonder how I can find support to deal with this bullying.
Scared About a Big Test,I have a huge test tomorrow and I'm terrified. I feel overwhelmed and need some advice on studying.
Social Bullying in Gym,Some girls in my gym class keep excluding me. It feels like social bullying, and I'm not sure how to address it.
Feeling Overwhelmed with Clubs,I signed up for too many clubs this year and now I feel overwhelmed with all the extracurricular activities.
Physical Bullying on the Playground,Someone shoved me into the fence during recess. It hurt, and I didn't know how to respond.
Excited for Yearbook,Yearbook planning is underway and I can’t wait to see everyone’s ideas. It’s such a fun school activity!
